# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-07-28,EP062026,-1,2026-07-28 00:00:00,0 days 00:00:00,0,21.5,-148.5,998.8,45.6
2026-07-28,EP062026,-1,2026-07-28 06:00:00,0 days 06:00:00,6,21.81,-149.68,1001.2,41.5
2026-07-28,EP062026,-1,2026-07-28 12:00:00,0 days 12:00:00,12,22.12,-150.88,1003.7,37.4
2026-07-28,EP062026,-1,2026-07-28 18:00:00,0 days 18:00:00,18,22.37,-151.82,1004.6,35.7
2026-07-28,EP062026,-1,2026-07-29 00:00:00,1 days 00:00:00,24,22.6,-152.81,1005.9,33.5
2026-07-28,EP072026,-1,2026-07-28 00:00:00,0 days 00:00:00,0,17.0,-114.25,971.7,82.6
2026-07-28,EP072026,-1,2026-07-28 06:00:00,0 days 06:00:00,6,17.3,-115.0,974.5,79.2
2026-07-28,EP072026,-1,2026-07-28 12:00:00,0 days 12:00:00,12,17.59,-115.75,977.2,75.8
2026-07-28,EP072026,-1,2026-07-28 18:00:00,0 days 18:00:00,18,17.89,-116.47,977.5,75.4
2026-07-28,EP072026,-1,2026-07-29 00:00:00,1 days 00:00:00,24,18.19,-117.19,977.8,75.0
2026-07-28,EP072026,-1,2026-07-29 06:00:00,1 days 06:00:00,30,18.38,-118.01,979.9,72.3
2026-07-28,EP072026,-1,2026-07-29 12:00:00,1 days 12:00:00,36,18.57,-118.83,982.1,69.5
2026-07-28,EP072026,-1,2026-07-29 18:00:00,1 days 18:00:00,42,18.75,-119.75,984.3,66.5
2026-07-28,EP072026,-1,2026-07-30 00:00:00,2 days 00:00:00,48,18.94,-120.67,986.5,63.5
2026-07-28,EP072026,-1,2026-07-30 06:00:00,2 days 06:00:00,54,19.26,-121.7,987.7,61.9
2026-07-28,EP072026,-1,2026-07-30 12:00:00,2 days 12:00:00,60,19.57,-122.73,988.9,60.2
2026-07-28,EP072026,-1,2026-07-30 18:00:00,2 days 18:00:00,66,19.89,-123.84,990.4,58.2
2026-07-28,EP072026,-1,2026-07-31 00:00:00,3 days 00:00:00,72,20.21,-124.95,991.8,56.1
2026-07-28,EP072026,-1,2026-07-31 06:00:00,3 days 06:00:00,78,20.45,-126.09,993.9,53.0
2026-07-28,EP072026,-1,2026-07-31 12:00:00,3 days 12:00:00,84,20.69,-127.23,995.9,49.9
2026-07-28,EP072026,-1,2026-07-31 18:00:00,3 days 18:00:00,90,20.99,-128.52,997.8,46.9
2026-07-28,EP072026,-1,2026-08-01 00:00:00,4 days 00:00:00,96,21.28,-129.82,999.7,43.9
2026-07-28,EP072026,-1,2026-08-01 06:00:00,4 days 06:00:00,102,21.6,-131.2,1001.4,41.2
