# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-08-17 18:00:00,CP012026,-1,2026-08-17 18:00:00,0 days 00:00:00,0,20.25,-164.0,997.0,48.4
2026-08-17 18:00:00,CP012026,-1,2026-08-18 00:00:00,0 days 06:00:00,6,20.39,-164.92,995.3,51.0
2026-08-17 18:00:00,CP012026,-1,2026-08-18 06:00:00,0 days 12:00:00,12,20.53,-165.85,993.6,53.5
2026-08-17 18:00:00,CP012026,-1,2026-08-18 12:00:00,0 days 18:00:00,18,20.51,-166.83,991.8,56.1
2026-08-17 18:00:00,CP012026,-1,2026-08-18 18:00:00,1 days 00:00:00,24,20.49,-167.81,990.0,58.7
2026-08-17 18:00:00,CP012026,-1,2026-08-19 00:00:00,1 days 06:00:00,30,20.79,-168.56,987.2,62.6
2026-08-17 18:00:00,CP012026,-1,2026-08-19 06:00:00,1 days 12:00:00,36,21.09,-169.32,984.3,66.5
2026-08-17 18:00:00,CP012026,-1,2026-08-19 12:00:00,1 days 18:00:00,42,21.55,-170.05,982.9,68.3
2026-08-17 18:00:00,CP012026,-1,2026-08-19 18:00:00,2 days 00:00:00,48,22.02,-170.8,981.5,70.2
2026-08-17 18:00:00,CP012026,-1,2026-08-20 00:00:00,2 days 06:00:00,54,22.57,-171.47,981.0,70.8
2026-08-17 18:00:00,CP012026,-1,2026-08-20 06:00:00,2 days 12:00:00,60,23.12,-172.15,980.6,71.3
2026-08-17 18:00:00,CP012026,-1,2026-08-20 12:00:00,2 days 18:00:00,66,23.49,-172.55,980.7,71.2
2026-08-17 18:00:00,CP012026,-1,2026-08-20 18:00:00,3 days 00:00:00,72,23.87,-172.96,980.9,71.0
2026-08-17 18:00:00,CP012026,-1,2026-08-21 00:00:00,3 days 06:00:00,78,24.25,-172.88,980.4,71.6
2026-08-17 18:00:00,CP012026,-1,2026-08-21 06:00:00,3 days 12:00:00,84,24.64,-172.79,979.9,72.2
2026-08-17 18:00:00,CP012026,-1,2026-08-21 12:00:00,3 days 18:00:00,90,25.18,-172.2,979.8,72.4
2026-08-17 18:00:00,CP012026,-1,2026-08-21 18:00:00,4 days 00:00:00,96,25.72,-171.61,979.7,72.5
2026-08-17 18:00:00,CP012026,-1,2026-08-22 00:00:00,4 days 06:00:00,102,26.5,-171.03,980.4,71.5
2026-08-17 18:00:00,CP012026,-1,2026-08-22 06:00:00,4 days 12:00:00,108,27.27,-170.44,981.1,70.6
2026-08-17 18:00:00,CP012026,-1,2026-08-22 12:00:00,4 days 18:00:00,114,28.19,-170.3,981.4,70.2
2026-08-17 18:00:00,CP012026,-1,2026-08-22 18:00:00,5 days 00:00:00,120,29.1,-170.17,981.7,69.8
2026-08-17 18:00:00,CP012026,-1,2026-08-23 00:00:00,5 days 06:00:00,126,30.04,-170.2,982.0,69.5
2026-08-17 18:00:00,CP012026,-1,2026-08-23 06:00:00,5 days 12:00:00,132,30.97,-170.24,982.2,69.1
2026-08-17 18:00:00,CP012026,-1,2026-08-23 12:00:00,5 days 18:00:00,138,31.88,-170.52,983.3,67.8
2026-08-17 18:00:00,CP012026,-1,2026-08-23 18:00:00,6 days 00:00:00,144,32.79,-170.81,984.4,66.4
2026-08-17 18:00:00,CP012026,-1,2026-08-24 00:00:00,6 days 06:00:00,150,33.63,-171.1,985.5,64.9
2026-08-17 18:00:00,CP012026,-1,2026-08-24 06:00:00,6 days 12:00:00,156,34.48,-171.39,986.6,63.3
2026-08-17 18:00:00,CP012026,-1,2026-08-24 12:00:00,6 days 18:00:00,162,35.19,-171.78,988.0,61.4
2026-08-17 18:00:00,CP012026,-1,2026-08-24 18:00:00,7 days 00:00:00,168,35.89,-172.17,989.3,59.5
2026-08-17 18:00:00,CP012026,-1,2026-08-25 00:00:00,7 days 06:00:00,174,36.62,-172.32,990.9,57.2
2026-08-17 18:00:00,CP012026,-1,2026-08-25 06:00:00,7 days 12:00:00,180,37.35,-172.46,992.4,55.0
2026-08-17 18:00:00,CP012026,-1,2026-08-25 12:00:00,7 days 18:00:00,186,38.11,-172.44,994.0,52.6
2026-08-17 18:00:00,CP012026,-1,2026-08-25 18:00:00,8 days 00:00:00,192,38.88,-172.41,995.5,50.3
