# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-08-05 18:00:00,WP122026,-1,2026-08-05 18:00:00,0 days 00:00:00,0,26.25,134.5,958.6,97.8
2026-08-05 18:00:00,WP122026,-1,2026-08-06 00:00:00,0 days 06:00:00,6,26.4,133.53,957.9,98.6
2026-08-05 18:00:00,WP122026,-1,2026-08-06 06:00:00,0 days 12:00:00,12,26.55,132.55,957.2,99.3
2026-08-05 18:00:00,WP122026,-1,2026-08-06 12:00:00,0 days 18:00:00,18,26.76,131.48,957.6,98.9
2026-08-05 18:00:00,WP122026,-1,2026-08-06 18:00:00,1 days 00:00:00,24,26.97,130.41,958.1,98.4
2026-08-05 18:00:00,WP122026,-1,2026-08-07 00:00:00,1 days 06:00:00,30,27.23,129.33,958.1,98.3
2026-08-05 18:00:00,WP122026,-1,2026-08-07 06:00:00,1 days 12:00:00,36,27.49,128.23,958.1,98.3
2026-08-05 18:00:00,WP122026,-1,2026-08-07 12:00:00,1 days 18:00:00,42,27.54,127.34,959.1,97.2
2026-08-05 18:00:00,WP122026,-1,2026-08-07 18:00:00,2 days 00:00:00,48,27.59,126.44,960.1,96.1
2026-08-05 18:00:00,WP122026,-1,2026-08-08 00:00:00,2 days 06:00:00,54,27.64,125.81,960.2,95.9
2026-08-05 18:00:00,WP122026,-1,2026-08-08 06:00:00,2 days 12:00:00,60,27.7,125.19,960.4,95.7
2026-08-05 18:00:00,WP122026,-1,2026-08-08 12:00:00,2 days 18:00:00,66,27.85,124.5,961.6,94.3
2026-08-05 18:00:00,WP122026,-1,2026-08-08 18:00:00,3 days 00:00:00,72,28.0,123.8,962.9,92.9
2026-08-05 18:00:00,WP122026,-1,2026-08-09 00:00:00,3 days 06:00:00,78,28.22,123.09,964.8,90.6
2026-08-05 18:00:00,WP122026,-1,2026-08-09 06:00:00,3 days 12:00:00,84,28.43,122.39,966.7,88.4
2026-08-05 18:00:00,WP122026,-1,2026-08-09 12:00:00,3 days 18:00:00,90,28.64,121.7,972.1,81.8
2026-08-05 18:00:00,WP122026,-1,2026-08-09 18:00:00,4 days 00:00:00,96,28.85,121.02,977.6,75.1
2026-08-05 18:00:00,WP122026,-1,2026-08-10 00:00:00,4 days 06:00:00,102,29.28,120.4,981.6,69.9
2026-08-05 18:00:00,WP122026,-1,2026-08-10 06:00:00,4 days 12:00:00,108,29.71,119.77,985.7,64.6
2026-08-05 18:00:00,WP122026,-1,2026-08-10 12:00:00,4 days 18:00:00,114,30.27,119.1,987.8,61.7
2026-08-05 18:00:00,WP122026,-1,2026-08-10 18:00:00,5 days 00:00:00,120,30.83,118.42,989.9,58.9
2026-08-05 18:00:00,WP122026,-1,2026-08-11 00:00:00,5 days 06:00:00,126,31.26,118.19,990.8,57.5
2026-08-05 18:00:00,WP122026,-1,2026-08-11 06:00:00,5 days 12:00:00,132,31.69,117.97,991.8,56.1
2026-08-05 18:00:00,WP122026,-1,2026-08-11 12:00:00,5 days 18:00:00,138,32.15,118.18,992.1,55.6
2026-08-05 18:00:00,WP122026,-1,2026-08-11 18:00:00,6 days 00:00:00,144,32.76,118.26,992.6,55.0
2026-08-05 18:00:00,WP122026,-1,2026-08-12 00:00:00,6 days 06:00:00,150,32.85,119.31,991.3,56.8
2026-08-05 18:00:00,WP122026,-1,2026-08-12 06:00:00,6 days 12:00:00,156,33.41,119.83,990.8,57.6
2026-08-05 18:00:00,WP122026,-1,2026-08-12 12:00:00,6 days 18:00:00,162,33.46,120.77,989.7,59.1
2026-08-05 18:00:00,WP122026,-1,2026-08-12 18:00:00,7 days 00:00:00,168,33.94,121.28,989.3,59.6
2026-08-05 18:00:00,WP122026,-1,2026-08-13 00:00:00,7 days 06:00:00,174,34.11,122.04,988.4,60.9
2026-08-05 18:00:00,WP122026,-1,2026-08-13 06:00:00,7 days 12:00:00,180,34.44,122.72,988.3,61.0
