# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-07-18 06:00:00,EP052026,-1,2026-07-18 06:00:00,0 days 00:00:00,0,17.75,-122.5,984.2,66.7
2026-07-18 06:00:00,EP052026,-1,2026-07-18 12:00:00,0 days 06:00:00,6,18.34,-123.1,985.9,64.4
2026-07-18 06:00:00,EP052026,-1,2026-07-18 18:00:00,0 days 12:00:00,12,18.94,-123.7,987.6,62.1
2026-07-18 06:00:00,EP052026,-1,2026-07-19 00:00:00,0 days 18:00:00,18,19.8,-124.22,988.7,60.5
2026-07-18 06:00:00,EP052026,-1,2026-07-19 06:00:00,1 days 00:00:00,24,20.67,-124.75,989.9,58.8
2026-07-18 06:00:00,EP052026,-1,2026-07-19 12:00:00,1 days 06:00:00,30,21.55,-125.34,990.7,57.7
2026-07-18 06:00:00,EP052026,-1,2026-07-19 18:00:00,1 days 12:00:00,36,22.43,-125.94,991.4,56.6
2026-07-18 06:00:00,EP052026,-1,2026-07-20 00:00:00,1 days 18:00:00,42,23.54,-126.29,993.6,53.4
2026-07-18 06:00:00,EP052026,-1,2026-07-20 06:00:00,2 days 00:00:00,48,24.65,-126.66,995.8,50.1
2026-07-18 06:00:00,EP052026,-1,2026-07-20 12:00:00,2 days 06:00:00,54,26.3,-126.98,997.8,47.1
2026-07-18 06:00:00,EP052026,-1,2026-07-20 18:00:00,2 days 12:00:00,60,27.96,-127.3,999.9,43.8
2026-07-18 06:00:00,EP052026,-1,2026-07-21 00:00:00,2 days 18:00:00,66,29.51,-127.5,1001.2,41.5
2026-07-18 06:00:00,EP052026,-1,2026-07-21 06:00:00,3 days 00:00:00,72,31.1,-127.65,1003.0,38.5
2026-07-18 06:00:00,EP052026,-1,2026-07-21 12:00:00,3 days 06:00:00,78,32.77,-127.92,1004.6,35.8
2026-07-18 06:00:00,EP052026,-1,2026-07-21 18:00:00,3 days 12:00:00,84,34.44,-128.1,1006.3,32.7
2026-07-18 06:00:00,EP052026,-1,2026-07-22 00:00:00,3 days 18:00:00,90,36.16,-128.43,1007.2,30.9
2026-07-18 06:00:00,EP052026,-1,2026-07-22 06:00:00,4 days 00:00:00,96,37.67,-128.63,1008.7,28.1
2026-07-18 06:00:00,EP052026,-1,2026-07-22 12:00:00,4 days 06:00:00,102,38.96,-129.39,1009.4,26.7
2026-07-18 06:00:00,EP052026,-1,2026-07-22 18:00:00,4 days 12:00:00,108,40.2,-129.99,1010.1,25.2
2026-07-18 06:00:00,EP052026,-1,2026-07-23 00:00:00,4 days 18:00:00,114,40.8,-130.3,1010.5,24.4
2026-07-18 06:00:00,EP052026,-1,2026-07-23 06:00:00,5 days 00:00:00,120,41.38,-130.77,1010.6,24.1
2026-07-18 06:00:00,EP972026,-1,2026-07-18 06:00:00,0 days 00:00:00,0,11.25,-105.25,1009.9,25.6
2026-07-18 06:00:00,EP972026,-1,2026-07-18 12:00:00,0 days 06:00:00,6,11.3,-106.43,1009.5,26.5
2026-07-18 06:00:00,EP972026,-1,2026-07-18 18:00:00,0 days 12:00:00,12,11.35,-107.62,1009.1,27.4
2026-07-18 06:00:00,EP972026,-1,2026-07-19 00:00:00,0 days 18:00:00,18,11.62,-108.89,1007.8,29.8
2026-07-18 06:00:00,EP972026,-1,2026-07-19 06:00:00,1 days 00:00:00,24,11.89,-110.16,1006.6,32.1
2026-07-18 06:00:00,EP972026,-1,2026-07-19 12:00:00,1 days 06:00:00,30,12.07,-111.29,1005.0,35.0
2026-07-18 06:00:00,EP972026,-1,2026-07-19 18:00:00,1 days 12:00:00,36,12.25,-112.44,1003.4,37.9
2026-07-18 06:00:00,EP972026,-1,2026-07-20 00:00:00,1 days 18:00:00,42,12.74,-113.49,1001.6,40.9
2026-07-18 06:00:00,EP972026,-1,2026-07-20 06:00:00,2 days 00:00:00,48,13.24,-114.54,999.8,43.9
2026-07-18 06:00:00,EP972026,-1,2026-07-20 12:00:00,2 days 06:00:00,54,13.83,-115.6,998.6,45.6
2026-07-18 06:00:00,EP972026,-1,2026-07-20 18:00:00,2 days 12:00:00,60,14.43,-116.67,997.5,47.4
2026-07-18 06:00:00,EP972026,-1,2026-07-21 00:00:00,2 days 18:00:00,66,14.93,-117.53,996.5,49.0
2026-07-18 06:00:00,EP972026,-1,2026-07-21 06:00:00,3 days 00:00:00,72,15.43,-118.39,995.4,50.6
2026-07-18 06:00:00,EP972026,-1,2026-07-21 12:00:00,3 days 06:00:00,78,15.67,-119.16,993.8,52.9
2026-07-18 06:00:00,EP972026,-1,2026-07-21 18:00:00,3 days 12:00:00,84,15.92,-119.93,992.2,55.3
2026-07-18 06:00:00,EP972026,-1,2026-07-22 00:00:00,3 days 18:00:00,90,16.13,-120.66,990.9,57.2
2026-07-18 06:00:00,EP972026,-1,2026-07-22 06:00:00,4 days 00:00:00,96,16.33,-121.39,989.6,59.1
2026-07-18 06:00:00,EP972026,-1,2026-07-22 12:00:00,4 days 06:00:00,102,16.41,-122.33,988.3,60.8
2026-07-18 06:00:00,EP972026,-1,2026-07-22 18:00:00,4 days 12:00:00,108,16.48,-123.27,987.1,62.5
2026-07-18 06:00:00,EP972026,-1,2026-07-23 00:00:00,4 days 18:00:00,114,16.54,-124.36,986.8,63.0
2026-07-18 06:00:00,EP972026,-1,2026-07-23 06:00:00,5 days 00:00:00,120,16.59,-125.46,986.4,63.5
2026-07-18 06:00:00,EP972026,-1,2026-07-23 12:00:00,5 days 06:00:00,126,16.6,-126.84,986.1,64.0
2026-07-18 06:00:00,EP972026,-1,2026-07-23 18:00:00,5 days 12:00:00,132,16.6,-128.23,985.7,64.5
2026-07-18 06:00:00,EP972026,-1,2026-07-24 00:00:00,5 days 18:00:00,138,16.68,-129.71,986.4,63.5
2026-07-18 06:00:00,EP972026,-1,2026-07-24 06:00:00,6 days 00:00:00,144,16.74,-131.2,987.2,62.4
2026-07-18 06:00:00,EP972026,-1,2026-07-24 12:00:00,6 days 06:00:00,150,16.82,-132.75,987.7,61.8
2026-07-18 06:00:00,EP972026,-1,2026-07-24 18:00:00,6 days 12:00:00,156,16.88,-134.31,988.1,61.2
2026-07-18 06:00:00,EP972026,-1,2026-07-25 00:00:00,6 days 18:00:00,162,17.01,-135.77,988.6,60.4
2026-07-18 06:00:00,EP972026,-1,2026-07-25 06:00:00,7 days 00:00:00,168,17.14,-137.24,989.1,59.7
2026-07-18 06:00:00,EP972026,-1,2026-07-25 12:00:00,7 days 06:00:00,174,17.31,-138.78,990.5,57.7
2026-07-18 06:00:00,EP972026,-1,2026-07-25 18:00:00,7 days 12:00:00,180,17.52,-140.33,992.2,55.3
2026-07-18 06:00:00,EP972026,-1,2026-07-26 00:00:00,7 days 18:00:00,186,17.71,-141.84,993.3,53.5
2026-07-18 06:00:00,EP972026,-1,2026-07-26 06:00:00,8 days 00:00:00,192,17.94,-143.3,994.7,51.4
2026-07-18 06:00:00,EP972026,-1,2026-07-26 12:00:00,8 days 06:00:00,198,18.13,-144.85,995.7,49.8
2026-07-18 06:00:00,EP972026,-1,2026-07-26 18:00:00,8 days 12:00:00,204,18.42,-146.38,997.4,47.2
2026-07-18 06:00:00,EP972026,-1,2026-07-27 00:00:00,8 days 18:00:00,210,18.49,-148.1,997.9,46.4
2026-07-18 06:00:00,EP972026,-1,2026-07-27 06:00:00,9 days 00:00:00,216,18.84,-149.53,999.8,43.3
2026-07-18 06:00:00,EP972026,-1,2026-07-27 12:00:00,9 days 06:00:00,222,19.07,-151.48,999.9,43.2
2026-07-18 06:00:00,EP972026,-1,2026-07-27 18:00:00,9 days 12:00:00,228,19.47,-152.88,1001.1,41.2
2026-07-18 06:00:00,EP972026,-1,2026-07-28 00:00:00,9 days 18:00:00,234,20.22,-153.38,999.6,43.8
2026-07-18 06:00:00,EP972026,-1,2026-07-28 06:00:00,10 days 00:00:00,240,20.77,-154.4,1001.1,41.5
2026-07-18 06:00:00,EP972026,-1,2026-07-28 12:00:00,10 days 06:00:00,246,21.54,-155.31,1002.2,39.6
2026-07-18 06:00:00,EP972026,-1,2026-07-28 18:00:00,10 days 12:00:00,252,22.24,-156.25,1004.5,35.6
