# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-08-04 06:00:00,WP122026,-1,2026-08-04 06:00:00,0 days 00:00:00,0,25.3,141.9,933.0,115.0,22.0,398.0,315.0,296.0,370.0,,,,,,,,
2026-08-04 06:00:00,WP122026,-1,2026-08-04 12:00:00,0 days 06:00:00,6,25.25,140.55,953.5,86.6,52.76240976691283,435.9012542159628,384.1630821609683,350.0524492806986,400.92037832991116,261.43458364416813,246.2410331384436,215.24253339453713,237.35517424276523,137.8802142110912,130.90101360685358,111.58863158635062,122.33117255411794
2026-08-04 06:00:00,WP122026,-1,2026-08-04 18:00:00,0 days 12:00:00,12,25.37,139.25,956.3,82.6,58.05771296686631,405.9475661223453,356.6159690660484,329.34204022430123,372.29896381069034,226.0276027432075,207.28317990230673,178.86959408573122,202.05607280939796,112.22642402378891,104.8222781243603,88.34665939817869,100.13291532392226
2026-08-04 06:00:00,WP122026,-1,2026-08-05 00:00:00,0 days 18:00:00,18,25.53,137.93,958.2,79.5,69.1564435473325,431.7390282521665,391.6207271146597,357.99627746783597,395.1183931287011,228.46642304493443,209.09884043222758,181.0491987422175,204.213275897289,113.31072021287632,96.49413780673397,81.48274484031631,98.2674221919954
2026-08-04 06:00:00,WP122026,-1,2026-08-05 06:00:00,1 days 00:00:00,24,25.73,136.85,954.8,84.0,58.79005427904758,413.8938646305538,371.46940158522295,342.86731561407885,380.32628731560305,234.2189301642662,217.38488598852055,190.3743017376176,211.65339506666572,122.0674543282361,113.52682618976016,95.99713854029426,106.00512542481025
2026-08-04 06:00:00,WP122026,-1,2026-08-05 12:00:00,1 days 06:00:00,30,25.86,135.64,953.9,85.1,55.50802870507359,432.43368196123777,381.1253342474257,351.6312662199449,399.71599407354654,249.9528525432081,232.6670842962848,204.7319713300323,226.3671604885043,133.82019880156648,125.56804286529785,106.46185989672122,117.03741790403612
2026-08-04 06:00:00,WP122026,-1,2026-08-05 18:00:00,1 days 12:00:00,36,25.97,134.52,952.6,85.1,46.66138063419872,421.9292150341069,375.38574683388657,343.63710257040685,384.98442760325685,228.61586133381036,210.02432073459647,182.71433764177883,205.9579671458467,116.54906710771172,108.52901935300362,91.64224258375563,104.55446137679553
2026-08-04 06:00:00,WP122026,-1,2026-08-06 00:00:00,1 days 18:00:00,42,26.13,133.45,953.2,83.9,58.2004875639478,451.26636373783373,406.7698975234063,373.4362661400574,412.86968809815914,236.9565521284759,221.87034270734836,193.16131653885026,212.7347102999109,121.16535769585258,111.59697163353044,94.44433733874068,104.19397708557335
2026-08-04 06:00:00,WP122026,-1,2026-08-06 06:00:00,2 days 00:00:00,48,26.41,132.28,950.3,87.3,56.51411507442105,448.61843719360064,406.81619926278285,372.7136024470208,409.7929159885725,249.37863259754647,234.8349482395372,205.2415102762318,224.2966502027743,131.33050746605068,122.66634299183902,104.09850187705104,114.02341163391044
2026-08-04 06:00:00,WP122026,-1,2026-08-06 12:00:00,2 days 06:00:00,54,26.53,131.27,949.4,87.3,62.34972341073152,463.781092077313,416.8994452384595,385.58428390028496,431.4978219654924,269.31880787061675,254.31070916526008,224.6268138051391,245.80979984132463,144.76299814774495,136.903338065625,116.36819814695106,127.3186426435791
2026-08-04 06:00:00,WP122026,-1,2026-08-06 18:00:00,2 days 12:00:00,60,26.73,130.07,949.2,85.8,59.53388493205044,437.7587149323164,393.23849492404696,354.6920238601565,394.8188825754162,225.37059954729494,208.68755844725902,179.0484505085188,200.01628468940527,113.21633805258462,100.12335889079417,84.05147228926481,93.89481312696849
2026-08-04 06:00:00,WP122026,-1,2026-08-07 00:00:00,2 days 18:00:00,66,26.86,128.97,949.5,86.5,63.821213779394185,445.1728011357121,406.22461236098025,372.5873302558185,407.3515232247652,228.314187369695,211.8105541919592,183.93142336493028,204.5177837873808,116.97827026036826,106.93117508637823,89.57235734279992,100.55919892706709
2026-08-04 06:00:00,WP122026,-1,2026-08-07 06:00:00,3 days 00:00:00,72,27.02,128.02,949.6,84.3,60.14278112460644,447.9253841343583,411.25480877932733,382.00894652663834,412.20222855055874,228.4624816502553,213.59115088001462,186.79575891508009,203.84133688887073,123.67797926507838,106.13453891034553,90.16410746358655,98.58525753425603
2026-08-04 06:00:00,WP122026,-1,2026-08-07 12:00:00,3 days 06:00:00,78,27.02,127.25,951.5,84.5,58.400723308126096,456.44122793001895,418.65096018347197,393.87484102563525,428.2590953311865,256.524070344277,245.88284897134818,218.54872443792422,235.08325621475728,132.88448453177796,125.00132213933563,106.80870546330785,115.62946191643964
2026-08-04 06:00:00,WP122026,-1,2026-08-07 18:00:00,3 days 12:00:00,84,26.99,126.56,952.3,80.6,71.9312025576365,452.33902566771764,423.9635905840792,394.6654616053127,418.66484299916743,218.77481800448766,205.9600789402981,179.34676926293938,194.87813125304427,113.39220815352229,93.40650205428383,76.42366411481208,83.323866952394
2026-08-04 06:00:00,WP122026,-1,2026-08-08 00:00:00,3 days 18:00:00,90,27.0,125.94,953.3,79.5,77.71634132494414,478.0110397909513,457.39018261789425,425.2603037980068,440.50098009374705,234.30864364151898,222.78760266762228,196.20393078381164,210.24353860127044,103.68591147121019,90.49525093028763,77.37190333657131,98.4024835500894
2026-08-04 06:00:00,WP122026,-1,2026-08-08 06:00:00,4 days 00:00:00,96,27.04,125.4,954.4,78.1,81.36440038019934,463.31200669740576,441.5685589301087,409.62967329722625,424.6506658219039,225.95579170793152,212.55429970090307,184.69967789477323,194.89968706056322,114.92458150915263,95.93066802211182,80.11797574404638,84.97960761869845
2026-08-04 06:00:00,WP122026,-1,2026-08-08 12:00:00,4 days 06:00:00,102,27.1,124.91,955.3,77.4,79.49045901599926,479.43174085060963,458.5356036915372,428.96971287611683,446.4975833358528,252.50668755764502,244.30320297669724,216.09622601397422,227.48578896937798,122.92275682799242,108.07488940201206,92.34754984436645,103.67893768793266
2026-08-04 06:00:00,WP122026,-1,2026-08-08 18:00:00,4 days 12:00:00,108,27.25,124.48,958.2,72.3,80.48455804487145,450.5250827763871,426.5775205418849,390.95117700121205,411.8523456693119,214.22421300851548,201.4095792946843,174.26932614687044,184.9009878600195,88.73658629522612,73.95516080220365,59.69581576869303,65.36247150745169
2026-08-04 06:00:00,WP122026,-1,2026-08-09 00:00:00,4 days 18:00:00,114,27.4,124.04,959.4,72.3,75.533595712671,439.68844177540717,420.81948548370644,386.5031866561392,402.14672790740195,224.5891002013927,211.05165726142414,186.14780583204282,194.70463610325362,104.11818430971022,83.37657749625428,69.76694115465214,74.66778003292171
2026-08-04 06:00:00,WP122026,-1,2026-08-09 06:00:00,5 days 00:00:00,120,27.7,123.59,961.1,69.1,71.3254562098616,404.98719956375027,388.2618613722542,352.9637083125145,364.6274227679948,179.20785384862154,169.8324557833549,142.22248437358462,151.94022074704594,64.98827336271545,59.13782576780737,42.696023773301,46.12729364446746
2026-08-04 06:00:00,WP122026,-1,2026-08-09 12:00:00,5 days 06:00:00,126,27.85,123.15,963.3,66.2,76.69137321485385,411.99177165623036,392.85058661216385,357.42470076719894,374.59697320005324,185.25194649041947,172.79426032430703,145.37664297293412,158.4902368778589,48.09613650971826,40.50527558602395,34.40615227798397,40.71408775803178
2026-08-04 06:00:00,WP122026,-1,2026-08-09 18:00:00,5 days 12:00:00,132,28.19,122.67,967.4,61.8,75.28271408907892,365.6069124025237,349.8651198425845,311.5096387336709,324.4408302297023,147.63838376852183,129.89222646144262,107.5765397086753,118.4974453978935,23.080616597335503,18.498196746596975,14.664998118498188,16.255541639928403
2026-08-04 06:00:00,WP122026,-1,2026-08-10 00:00:00,5 days 18:00:00,138,28.63,122.2,969.3,59.6,65.2175232998242,331.4308222610019,316.55865832808746,278.40042597730337,290.22724898950935,112.50540263993781,101.21684894545126,81.50510057307632,93.79085534343876,20.48065831602225,10.79099663600062,8.939226363725474,10.073251346604216
2026-08-04 06:00:00,WP122026,-1,2026-08-10 06:00:00,6 days 00:00:00,144,29.2,121.61,970.2,55.3,69.7500713864565,258.2701202512207,246.39876169643708,211.5470627654652,219.450914873319,80.16952969546253,64.02630661051245,52.99425141333283,57.96242005519937,13.144216836674582,8.908078076943015,7.32762421713762,9.339918995228325
2026-08-04 06:00:00,WP122026,-1,2026-08-10 12:00:00,6 days 06:00:00,150,29.67,121.11,974.5,50.8,70.28832503666283,218.77174923086096,201.04311278250978,171.4758535761627,178.82012697424162,51.189104096696326,49.059705123210875,32.875462929484954,35.89374504619805,8.99888837915562,2.8068389476254243,2.3229319234579076,3.8752770823815
2026-08-04 06:00:00,WP122026,-1,2026-08-10 18:00:00,6 days 12:00:00,156,30.16,120.64,978.8,42.9,72.81009948762973,167.06839788026275,160.21015427156934,134.18342101778478,139.49591626662644,35.37163103856958,25.19740883187917,22.449983846576316,22.533624919008606,2.632161904078677,1.6304913460955306,0.5588484247915586,0.5392039417065686
