# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-07-25 12:00:00,EP062026,-1,2026-07-30 00:00:00,4 days 12:00:00,108,23.54,-157.29,1007.0,32.5,89.35986588923431,33.67637935219514,21.590187610050183,15.943124721157831,21.619692789395334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-25 12:00:00,EP062026,-1,2026-07-30 06:00:00,4 days 18:00:00,114,23.61,-158.62,1007.4,29.9,101.30040590150176,12.709384239675718,0.17909218666080615,4.272349168665941,0.759345967260209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-25 12:00:00,EP062026,-1,2026-07-30 12:00:00,5 days 00:00:00,120,23.74,-160.15,1006.5,31.1,86.98516686116109,18.1322759018861,0.9753778490087258,3.3477065886637236,1.4811504301494303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-25 12:00:00,EP072026,-1,2026-07-25 12:00:00,0 days 00:00:00,0,10.5,-103.7,997.0,51.0,19.0,74.0,74.0,56.0,56.0,19.0,,,,0.0,0.0,0.0,0.0
2026-07-25 12:00:00,EP072026,-1,2026-07-25 18:00:00,0 days 06:00:00,6,11.37,-105.07,999.5,50.6,54.290607457766946,119.76166061521153,88.52481972728849,50.87737177274938,84.96691839719917,27.518377688424412,5.745170806922849,3.1837692548015046,6.271410082871361,0.0,0.0,0.0,0.0
2026-07-25 12:00:00,EP072026,-1,2026-07-26 00:00:00,0 days 12:00:00,12,11.91,-106.3,995.2,57.9,43.779227430901976,136.78489095389642,108.74676955737102,68.02236396342983,106.12311265363331,39.66006146243125,16.460157536520505,8.479569417576602,15.334120433599251,5.146499177248647,2.7060473215456593,1.1675401808704389,1.5377956298506659
2026-07-25 12:00:00,EP072026,-1,2026-07-26 06:00:00,0 days 18:00:00,18,12.4,-107.4,991.4,65.5,38.506456856010146,178.06103990370136,143.8613647089327,93.58586868900575,140.35872813957351,57.10543636688779,36.5116887296256,23.13318583666743,37.41411520863248,16.183431541111187,5.208333438717281,3.6972395182138404,6.0565985749831865
2026-07-25 12:00:00,EP072026,-1,2026-07-26 12:00:00,1 days 00:00:00,24,12.9,-108.48,985.7,72.6,32.603674925837254,191.40623741206738,152.8740503804161,97.00298937509288,150.40865992071707,73.21722926379799,54.1753024385163,35.15811859969571,53.84142076659742,25.5310152740374,14.575459726390845,10.443288352319689,15.050628321084249
2026-07-25 12:00:00,EP072026,-1,2026-07-26 18:00:00,1 days 06:00:00,30,13.43,-109.47,984.2,74.6,31.883524717311264,207.1807280899626,167.21433960694932,106.24196013145175,162.60788789283873,78.5657513779913,59.215862118035076,38.30711632621527,58.690109568001574,30.604954080395228,18.124241517605,12.977764924806168,18.355199199742973
2026-07-25 12:00:00,EP072026,-1,2026-07-27 00:00:00,1 days 12:00:00,36,14.01,-110.35,977.4,82.8,27.085692124499005,220.370309406009,179.78398911789043,109.94509268823451,169.7732988990388,83.76947294144934,63.16729426879799,40.727596948112016,62.370343126553074,35.509404559454836,21.805949305141556,16.46089895227927,22.190007914519253
2026-07-25 12:00:00,EP072026,-1,2026-07-27 06:00:00,1 days 18:00:00,42,14.59,-111.25,969.3,93.8,23.809384796224904,227.34733821377452,186.77883897937605,121.42356689838995,181.48653879228678,91.3286965990398,71.17116639728646,48.40238749712969,71.3480278789592,38.681632788843125,28.77063834899423,21.569163511317637,29.542938869394156
2026-07-25 12:00:00,EP072026,-1,2026-07-27 12:00:00,2 days 00:00:00,48,15.2,-112.03,967.5,95.3,25.05901456624197,229.6596880863427,187.9046308399156,118.03126706269519,182.9507451184957,94.55641865281385,72.53151908158146,47.74665132237416,74.38199353175798,40.77609196287703,31.430132904810904,23.034652718945853,32.96050551264092
2026-07-25 12:00:00,EP072026,-1,2026-07-27 18:00:00,2 days 06:00:00,54,15.75,-112.75,966.8,94.7,27.6890298380133,221.99012918434136,187.41024220246743,120.88084465832426,175.0509517175695,90.75209851866663,71.99082936996929,47.740230197802056,71.74192003647786,38.76968774632812,29.649836208701586,21.68599277914028,29.84996746091073
