# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-08-10 18:00:00,WP132026,-1,2026-08-10 18:00:00,0 days 00:00:00,0,22.75,154.25,993.2,54.2
2026-08-10 18:00:00,WP132026,-1,2026-08-11 00:00:00,0 days 06:00:00,6,24.12,155.98,993.3,54.0
2026-08-10 18:00:00,WP132026,-1,2026-08-11 06:00:00,0 days 12:00:00,12,25.46,157.75,993.5,53.7
2026-08-10 18:00:00,WP132026,-1,2026-08-11 12:00:00,0 days 18:00:00,18,26.83,158.75,994.2,52.6
2026-08-10 18:00:00,WP132026,-1,2026-08-11 18:00:00,1 days 00:00:00,24,28.19,159.78,994.9,51.5
2026-08-10 18:00:00,WP132026,-1,2026-08-12 00:00:00,1 days 06:00:00,30,29.03,160.76,995.3,51.0
2026-08-10 18:00:00,WP132026,-1,2026-08-12 06:00:00,1 days 12:00:00,36,29.87,161.75,995.6,50.5
2026-08-10 18:00:00,WP132026,-1,2026-08-12 12:00:00,1 days 18:00:00,42,30.12,162.65,995.8,50.1
2026-08-10 18:00:00,WP132026,-1,2026-08-12 18:00:00,2 days 00:00:00,48,30.37,163.61,996.2,49.6
2026-08-10 18:00:00,WP132026,-1,2026-08-13 00:00:00,2 days 06:00:00,54,30.56,163.62,995.3,50.8
2026-08-10 18:00:00,WP132026,-1,2026-08-13 06:00:00,2 days 12:00:00,60,30.79,163.74,994.6,52.0
2026-08-10 18:00:00,WP132026,-1,2026-08-13 12:00:00,2 days 18:00:00,66,31.39,163.54,993.6,53.5
2026-08-10 18:00:00,WP132026,-1,2026-08-13 18:00:00,3 days 00:00:00,72,31.99,163.85,992.8,54.6
2026-08-10 18:00:00,WP132026,-1,2026-08-14 00:00:00,3 days 06:00:00,78,33.02,164.36,992.1,55.6
2026-08-10 18:00:00,WP132026,-1,2026-08-14 06:00:00,3 days 12:00:00,84,34.22,165.43,991.5,56.5
2026-08-10 18:00:00,WP132026,-1,2026-08-14 12:00:00,3 days 18:00:00,90,35.71,166.05,991.1,57.0
2026-08-10 18:00:00,WP132026,-1,2026-08-14 18:00:00,4 days 00:00:00,96,37.12,167.08,991.0,57.2
2026-08-10 18:00:00,WP142026,-1,2026-08-10 18:00:00,0 days 00:00:00,0,36.75,145.75,979.0,73.5
2026-08-10 18:00:00,WP142026,-1,2026-08-11 00:00:00,0 days 06:00:00,6,36.6,143.81,977.9,74.9
2026-08-10 18:00:00,WP142026,-1,2026-08-11 06:00:00,0 days 12:00:00,12,36.42,141.88,976.8,76.2
2026-08-10 18:00:00,WP142026,-1,2026-08-11 12:00:00,0 days 18:00:00,18,35.9,140.03,985.6,64.2
2026-08-10 18:00:00,WP142026,-1,2026-08-11 18:00:00,1 days 00:00:00,24,35.35,138.19,994.4,52.2
2026-08-10 18:00:00,WP142026,-1,2026-08-12 00:00:00,1 days 06:00:00,30,34.29,138.62,994.7,51.8
2026-08-10 18:00:00,WP142026,-1,2026-08-12 06:00:00,1 days 12:00:00,36,33.23,138.84,995.4,50.8
2026-08-10 18:00:00,WP142026,-1,2026-08-12 12:00:00,1 days 18:00:00,42,28.68,143.98,993.0,54.4
2026-08-10 18:00:00,WP142026,-1,2026-08-12 18:00:00,2 days 00:00:00,48,26.39,145.6,992.3,55.5
2026-08-10 18:00:00,WP142026,-1,2026-08-13 00:00:00,2 days 06:00:00,54,27.26,146.46,992.2,55.6
2026-08-10 18:00:00,WP142026,-1,2026-08-13 06:00:00,2 days 12:00:00,60,28.14,147.34,992.1,55.7
2026-08-10 18:00:00,WP142026,-1,2026-08-13 12:00:00,2 days 18:00:00,66,28.7,149.32,992.0,55.9
2026-08-10 18:00:00,WP142026,-1,2026-08-13 18:00:00,3 days 00:00:00,72,29.4,150.03,992.1,55.7
2026-08-10 18:00:00,WP142026,-1,2026-08-14 00:00:00,3 days 06:00:00,78,29.7,150.25,992.5,55.1
2026-08-10 18:00:00,WP142026,-1,2026-08-14 06:00:00,3 days 12:00:00,84,30.0,150.48,992.9,54.6
2026-08-10 18:00:00,WP142026,-1,2026-08-14 12:00:00,3 days 18:00:00,90,30.1,150.31,993.7,53.3
2026-08-10 18:00:00,WP142026,-1,2026-08-14 18:00:00,4 days 00:00:00,96,30.32,150.15,994.3,52.4
