# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-09-19,AL992026,-1,2026-09-19 00:00:00,0 days 00:00:00,0,33.4,-33.9,1015.0,29.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-19,AL992026,-1,2026-09-19 06:00:00,0 days 06:00:00,6,32.53,-33.73,1012.0,27.6,112.5272460924207,0.0,0.05412937888515105,1.8869003495984094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-19,AL992026,-1,2026-09-19 12:00:00,0 days 12:00:00,12,32.62,-33.66,1009.8,28.6,95.702920607422,2.3456024510475424,0.26427624855248893,0.12176994934224764,2.19441905232977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-19,AL992026,-1,2026-09-19 18:00:00,0 days 18:00:00,18,32.91,-33.5,1008.4,31.8,94.34679241177002,17.84801411094681,6.399095517446316,3.242513737182901,9.50973684990584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-19,AL992026,-1,2026-09-20 00:00:00,1 days 00:00:00,24,33.19,-33.43,1007.1,35.4,75.44568421110905,42.84481852722645,17.586674359322103,6.351626278925845,23.386675397670537,0.6334936801762667,0.018309486922764216,0.0,0.0054273547178546626,0.0,0.0,0.0,0.0
2026-09-19,AL992026,-1,2026-09-20 06:00:00,1 days 06:00:00,30,33.61,-33.37,1005.1,39.6,71.76734754341416,66.6202212185351,38.33267599547542,14.112275681538355,33.33308039482611,1.3811585660063852,0.5842711725393772,0.23595302728159498,0.44558482207353634,0.0,0.0,0.0,0.0
2026-09-19,AL992026,-1,2026-09-20 12:00:00,1 days 12:00:00,36,33.98,-33.17,1002.4,44.4,60.966804942934345,75.62703645383425,58.664258229943464,32.54482725926857,44.466210842174924,6.261851029107325,5.152842382670869,1.600405261646171,2.7496112029704194,0.0,0.0,0.0,0.6257744465750127
2026-09-19,AL992026,-1,2026-09-20 18:00:00,1 days 18:00:00,42,34.28,-32.83,999.0,49.5,52.16587971370398,87.32621671294572,83.68607697354241,46.569776461548535,57.940467785121605,13.845537573985165,12.83841149956813,5.9216436669102865,7.31836507674837,1.066452604184165,0.9804875238098356,0.28494183148835417,0.3527898393400642
2026-09-19,AL992026,-1,2026-09-21 00:00:00,2 days 00:00:00,48,34.36,-32.34,999.2,48.8,54.046566354074486,90.73892640815461,81.2028081597415,52.463334559204526,66.71140483814281,15.139125930752423,12.468985954133428,7.569849499518428,10.422616035483106,1.7186551413483708,1.6047459807141644,0.4620109421322945,0.6158359156443689
2026-09-19,AL992026,-1,2026-09-21 06:00:00,2 days 06:00:00,54,34.28,-32.03,1000.5,47.6,56.437948420808894,95.54027656295686,79.12226257954548,64.62658578160986,80.39834677857986,13.24234417628748,11.763816276494664,7.3015655855734325,8.410720371739528,1.2711076971285291,3.008333337637819,1.0958919333220951,1.1793848121358894
