# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-09-20 06:00:00,AL062026,-1,2026-09-20 06:00:00,0 days 00:00:00,0,33.75,-33.5,1008.0,29.5
2026-09-20 06:00:00,AL062026,-1,2026-09-20 12:00:00,0 days 06:00:00,6,33.94,-33.21,1007.4,30.7
2026-09-20 06:00:00,AL062026,-1,2026-09-20 18:00:00,0 days 12:00:00,12,34.13,-32.91,1006.7,31.9
2026-09-20 06:00:00,AL062026,-1,2026-09-21 00:00:00,0 days 18:00:00,18,34.1,-32.57,1007.0,31.4
2026-09-20 06:00:00,AL062026,-1,2026-09-21 06:00:00,1 days 00:00:00,24,34.07,-32.23,1007.2,30.9
2026-09-20 06:00:00,AL062026,-1,2026-09-21 12:00:00,1 days 06:00:00,30,33.71,-32.24,1008.9,27.5
2026-09-20 06:00:00,AL062026,-1,2026-09-21 18:00:00,1 days 12:00:00,36,33.35,-32.28,1010.7,23.8
2026-09-20 06:00:00,EP162026,-1,2026-09-20 06:00:00,0 days 00:00:00,0,10.75,-124.5,1006.0,33.3
2026-09-20 06:00:00,EP162026,-1,2026-09-20 12:00:00,0 days 06:00:00,6,11.18,-125.16,1004.9,35.2
2026-09-20 06:00:00,EP162026,-1,2026-09-20 18:00:00,0 days 12:00:00,12,11.62,-125.82,1003.9,37.0
2026-09-20 06:00:00,EP162026,-1,2026-09-21 00:00:00,0 days 18:00:00,18,12.36,-126.58,1003.5,37.7
2026-09-20 06:00:00,EP162026,-1,2026-09-21 06:00:00,1 days 00:00:00,24,13.11,-127.34,1003.1,38.4
2026-09-20 06:00:00,EP162026,-1,2026-09-21 12:00:00,1 days 06:00:00,30,13.5,-128.03,1002.2,39.8
2026-09-20 06:00:00,EP162026,-1,2026-09-21 18:00:00,1 days 12:00:00,36,13.9,-128.71,1001.4,41.2
2026-09-20 06:00:00,EP162026,-1,2026-09-22 00:00:00,1 days 18:00:00,42,14.21,-128.93,1000.7,42.3
2026-09-20 06:00:00,EP162026,-1,2026-09-22 06:00:00,2 days 00:00:00,48,14.52,-129.15,1000.1,43.3
2026-09-20 06:00:00,EP162026,-1,2026-09-22 12:00:00,2 days 06:00:00,54,14.61,-128.88,998.9,45.2
2026-09-20 06:00:00,EP162026,-1,2026-09-22 18:00:00,2 days 12:00:00,60,14.7,-128.61,997.7,47.2
2026-09-20 06:00:00,EP162026,-1,2026-09-23 00:00:00,2 days 18:00:00,66,14.74,-128.17,996.6,48.8
2026-09-20 06:00:00,EP162026,-1,2026-09-23 06:00:00,3 days 00:00:00,72,14.78,-127.73,995.6,50.4
2026-09-20 06:00:00,EP162026,-1,2026-09-23 12:00:00,3 days 06:00:00,78,14.85,-127.22,994.7,51.7
2026-09-20 06:00:00,EP162026,-1,2026-09-23 18:00:00,3 days 12:00:00,84,14.92,-126.7,993.8,53.0
2026-09-20 06:00:00,EP162026,-1,2026-09-24 00:00:00,3 days 18:00:00,90,15.1,-126.27,993.3,53.6
2026-09-20 06:00:00,EP162026,-1,2026-09-24 06:00:00,4 days 00:00:00,96,15.29,-125.84,992.9,54.3
2026-09-20 06:00:00,EP162026,-1,2026-09-24 12:00:00,4 days 06:00:00,102,15.65,-125.36,992.5,54.7
2026-09-20 06:00:00,EP162026,-1,2026-09-24 18:00:00,4 days 12:00:00,108,16.01,-124.88,992.2,55.2
2026-09-20 06:00:00,EP162026,-1,2026-09-25 00:00:00,4 days 18:00:00,114,16.35,-124.5,992.8,54.3
2026-09-20 06:00:00,EP162026,-1,2026-09-25 06:00:00,5 days 00:00:00,120,16.69,-124.11,993.5,53.3
2026-09-20 06:00:00,EP162026,-1,2026-09-25 12:00:00,5 days 06:00:00,126,17.11,-123.78,993.2,53.8
2026-09-20 06:00:00,EP162026,-1,2026-09-25 18:00:00,5 days 12:00:00,132,17.52,-123.54,993.4,53.3
2026-09-20 06:00:00,EP162026,-1,2026-09-26 00:00:00,5 days 18:00:00,138,17.77,-123.22,994.3,52.1
2026-09-20 06:00:00,EP162026,-1,2026-09-26 06:00:00,6 days 00:00:00,144,18.0,-123.04,995.7,49.9
2026-09-20 06:00:00,EP162026,-1,2026-09-26 12:00:00,6 days 06:00:00,150,18.28,-122.7,996.5,48.7
2026-09-20 06:00:00,EP162026,-1,2026-09-26 18:00:00,6 days 12:00:00,156,18.52,-122.44,997.4,47.1
2026-09-20 06:00:00,EP162026,-1,2026-09-27 00:00:00,6 days 18:00:00,162,18.71,-121.05,995.1,50.2
2026-09-20 06:00:00,EP162026,-1,2026-09-27 06:00:00,7 days 00:00:00,168,18.88,-119.66,992.7,53.3
2026-09-20 06:00:00,EP162026,-1,2026-09-27 12:00:00,7 days 06:00:00,174,19.17,-118.54,989.5,57.7
2026-09-20 06:00:00,EP162026,-1,2026-09-27 18:00:00,7 days 12:00:00,180,19.45,-117.42,986.3,62.1
2026-09-20 06:00:00,EP162026,-1,2026-09-28 00:00:00,7 days 18:00:00,186,19.69,-116.67,984.1,65.4
2026-09-20 06:00:00,EP162026,-1,2026-09-28 06:00:00,8 days 00:00:00,192,20.09,-116.16,982.7,67.3
2026-09-20 06:00:00,EP162026,-1,2026-09-28 12:00:00,8 days 06:00:00,198,20.45,-115.79,982.8,67.1
2026-09-20 06:00:00,EP162026,-1,2026-09-28 18:00:00,8 days 12:00:00,204,20.83,-115.43,983.5,66.1
2026-09-20 06:00:00,EP162026,-1,2026-09-29 00:00:00,8 days 18:00:00,210,20.48,-115.25,982.7,67.5
2026-09-20 06:00:00,EP162026,-1,2026-09-29 06:00:00,9 days 00:00:00,216,20.54,-114.8,982.6,67.9
2026-09-20 06:00:00,EP162026,-1,2026-09-29 12:00:00,9 days 06:00:00,222,19.95,-115.14,982.1,68.8
2026-09-20 06:00:00,EP162026,-1,2026-09-29 18:00:00,9 days 12:00:00,228,19.95,-115.04,982.6,68.1
2026-09-20 06:00:00,EP162026,-1,2026-09-30 00:00:00,9 days 18:00:00,234,20.48,-114.79,982.7,68.0
2026-09-20 06:00:00,EP162026,-1,2026-09-30 06:00:00,10 days 00:00:00,240,20.87,-114.77,983.3,67.1
2026-09-20 06:00:00,EP162026,-1,2026-09-30 12:00:00,10 days 06:00:00,246,20.66,-114.91,983.3,67.2
2026-09-20 06:00:00,EP162026,-1,2026-09-30 18:00:00,10 days 12:00:00,252,20.96,-115.11,984.0,66.1
2026-09-20 06:00:00,EP162026,-1,2026-10-01 00:00:00,10 days 18:00:00,258,20.57,-116.01,982.3,68.5
2026-09-20 06:00:00,EP162026,-1,2026-10-01 06:00:00,11 days 00:00:00,264,20.86,-116.3,982.2,68.5
2026-09-20 06:00:00,EP162026,-1,2026-10-01 12:00:00,11 days 06:00:00,270,20.72,-116.4,983.2,67.3
2026-09-20 06:00:00,EP162026,-1,2026-10-01 18:00:00,11 days 12:00:00,276,20.8,-116.3,984.7,65.2
2026-09-20 06:00:00,EP162026,-1,2026-10-02 00:00:00,11 days 18:00:00,282,20.64,-116.73,985.7,63.9
2026-09-20 06:00:00,EP162026,-1,2026-10-02 06:00:00,12 days 00:00:00,288,20.75,-117.19,987.2,61.8
2026-09-20 06:00:00,EP162026,-1,2026-10-02 12:00:00,12 days 06:00:00,294,20.84,-117.71,989.1,59.2
2026-09-20 06:00:00,EP162026,-1,2026-10-02 18:00:00,12 days 12:00:00,300,20.92,-118.23,991.0,56.5
2026-09-20 06:00:00,EP162026,-1,2026-10-03 00:00:00,12 days 18:00:00,306,20.98,-118.36,991.9,55.2
2026-09-20 06:00:00,EP162026,-1,2026-10-03 06:00:00,13 days 00:00:00,312,21.04,-118.49,992.9,53.8
2026-09-20 06:00:00,EP162026,-1,2026-10-03 12:00:00,13 days 06:00:00,318,21.01,-118.5,993.5,52.8
2026-09-20 06:00:00,EP162026,-1,2026-10-03 18:00:00,13 days 12:00:00,324,21.1,-118.84,995.0,50.7
2026-09-20 06:00:00,EP162026,-1,2026-10-04 00:00:00,13 days 18:00:00,330,20.64,-119.66,995.1,50.5
