# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-08-08,WP122026,-1,2026-08-08 00:00:00,0 days 00:00:00,0,27.0,126.0,959.7,96.6
2026-08-08,WP122026,-1,2026-08-08 06:00:00,0 days 06:00:00,6,27.03,125.48,959.0,97.4
2026-08-08,WP122026,-1,2026-08-08 12:00:00,0 days 12:00:00,12,27.06,124.95,958.3,98.1
2026-08-08,WP122026,-1,2026-08-08 18:00:00,0 days 18:00:00,18,27.44,124.26,960.4,95.7
2026-08-08,WP122026,-1,2026-08-09 00:00:00,1 days 00:00:00,24,27.82,123.57,962.5,93.3
2026-08-08,WP122026,-1,2026-08-09 06:00:00,1 days 06:00:00,30,28.26,122.56,966.3,88.9
2026-08-08,WP122026,-1,2026-08-09 12:00:00,1 days 12:00:00,36,28.7,121.54,970.1,84.4
2026-08-08,WP122026,-1,2026-08-09 18:00:00,1 days 18:00:00,42,29.22,120.64,977.7,74.9
2026-08-08,WP122026,-1,2026-08-10 00:00:00,2 days 00:00:00,48,29.75,119.73,985.2,65.4
2026-08-08,WP122026,-1,2026-08-10 06:00:00,2 days 06:00:00,54,30.46,118.98,987.4,62.4
2026-08-08,WP122026,-1,2026-08-10 12:00:00,2 days 12:00:00,60,31.17,118.22,989.5,59.4
2026-08-08,WP122026,-1,2026-08-10 18:00:00,2 days 18:00:00,66,31.86,117.39,990.7,57.7
2026-08-08,WP122026,-1,2026-08-11 00:00:00,3 days 00:00:00,72,32.55,116.54,992.0,55.9
2026-08-08,WP122026,-1,2026-08-11 06:00:00,3 days 06:00:00,78,32.81,116.27,992.9,54.6
2026-08-08,WP122026,-1,2026-08-11 12:00:00,3 days 12:00:00,84,33.14,115.95,994.0,53.0
2026-08-08,WP122026,-1,2026-08-11 18:00:00,3 days 18:00:00,90,33.73,116.13,993.9,53.1
2026-08-08,WP122026,-1,2026-08-12 00:00:00,4 days 00:00:00,96,34.24,116.24,994.3,52.4
2026-08-08,WP142026,-1,2026-08-08 00:00:00,0 days 00:00:00,0,32.5,156.75,989.6,59.4
2026-08-08,WP142026,-1,2026-08-08 06:00:00,0 days 06:00:00,6,32.71,154.82,988.5,60.9
2026-08-08,WP142026,-1,2026-08-08 12:00:00,0 days 12:00:00,12,32.9,152.88,987.4,62.4
2026-08-08,WP142026,-1,2026-08-08 18:00:00,0 days 18:00:00,18,32.61,152.33,986.6,63.3
2026-08-08,WP142026,-1,2026-08-09 00:00:00,1 days 00:00:00,24,32.33,151.79,985.9,64.3
2026-08-08,WP142026,-1,2026-08-09 06:00:00,1 days 06:00:00,30,32.51,151.73,987.2,62.5
2026-08-08,WP142026,-1,2026-08-09 12:00:00,1 days 12:00:00,36,32.69,151.67,988.6,60.7
2026-08-08,WP142026,-1,2026-08-09 18:00:00,1 days 18:00:00,42,33.51,151.08,988.8,60.4
2026-08-08,WP142026,-1,2026-08-10 00:00:00,2 days 00:00:00,48,34.33,150.49,989.0,60.0
2026-08-08,WP142026,-1,2026-08-10 06:00:00,2 days 06:00:00,54,35.3,149.25,986.8,63.1
2026-08-08,WP142026,-1,2026-08-10 12:00:00,2 days 12:00:00,60,36.13,148.19,984.8,65.9
2026-08-08,WP142026,-1,2026-08-10 18:00:00,2 days 18:00:00,66,36.64,146.46,983.4,67.7
2026-08-08,WP142026,-1,2026-08-11 00:00:00,3 days 00:00:00,72,37.12,144.71,982.1,69.4
2026-08-08,WP142026,-1,2026-08-11 06:00:00,3 days 06:00:00,78,36.87,143.4,986.4,63.4
2026-08-08,WP142026,-1,2026-08-11 12:00:00,3 days 12:00:00,84,36.71,142.09,990.8,57.3
2026-08-08,WP142026,-1,2026-08-11 18:00:00,3 days 18:00:00,90,36.23,141.99,992.8,54.5
2026-08-08,WP142026,-1,2026-08-12 00:00:00,4 days 00:00:00,96,36.14,140.79,995.4,50.7
